Fragrance,Name:Brand:Launched
Floral,Pi:Givenchy:1999
Violet leaves,
Cedarwood,
Hibiscus,
Licorice,
Basil Leaves,Dune pour Homme:Christian Dior:1997
Ambrette seeds,
Hibiscus Seed,
Red Pepper,
Massoia bark,
Mandarine,Chanel Pour Monsieur Concentrée:Chanel:1989
Atlas Cedar,
Ebony.,
Iced Mint.,Live Jazz:Yves Saint Laurent:1998
Galbanum.,Insensé Ultramarine:Givenchy:1994
Carnation,
Chestnut,
Haiti Vetiver,
Water Hyacinth,Chance Eau Fraîche:Chanel:2007
Bitter Orange,L'Instant d'un Eté:Guerlain:2006
Green accents,Aqua Allegoria Flora Nymphéa:Guerlain:2010
Pepper.,Le Parfum de Thérèse:Editions de Parfums Frederic Malle:2000
White leather accord,
Wild berries,Le Bouquet Absolu:Givenchy:2011
Saffron,Les Déserts d'Orient - Encens Mythique d'Orient:Guerlain:2012-*-Les Déserts d'Orient - Rose Nacrée du Desert:Guerlain:2012
Gorse,
Calamus,
Tender Rose,
Citruses,Aqua Fahrenheit:Christian Dior:2011
Tonkin Musk,
Warm woods,
Sicilian lemon,Eau de Patou pour Homme:Jean Patou:1976
Cool Grapefruit,Givenchy pour Homme:Givenchy:2002
Cedar Needles,Rocabar:Hermès:1998
Sweet Notes,
Virginia Cedar,
Sap notes,Chêne:Serge Lutens Les Salons du Palais Royal Shiseido:2004
Italian Bergamot,Diorella:Christian Dior:1972
Spices,
Mysore,
White amber,
New Hedione,
Pepper,Escale aux Marquises:Christian Dior:2010-*-Myrrhe et Délires:Guerlain:2012-*-La Nuit de L'Homme Le Parfum:Yves Saint Laurent:2010
Lychee,Idylle Eau Sublime:Guerlain:2011-*-Elle:Yves Saint Laurent:2007
Orchid,
Black elder,
Florentine iris,
Clover Leaf,Aqua Allegoria Herba Fresca:Guerlain:1999
Cardamom,Escale aux Marquises:Christian Dior:2010-*-Arsène Lupin Dandy:Guerlain:2010-*-Sira des Indes:Jean Patou:2006-*-Daim Blond:Serge Lutens Les Salons du Palais Royal Shiseido:2004
Benzoin Crystals,
Sea spray accord,
Lime,Aqua Allegoria Gentiana:Guerlain:2001-*-Vetiver Eau Glacée:Guerlain:2004-*-Guerlain Homme L'Eau Boisée:Guerlain:2012-*-Eau de Shalimar:Guerlain:2008-*-Eau de Patou pour Homme:Jean Patou:1976
Cistus Labdanum,
Pink pepper,Escale aux Marquises:Christian Dior:2010-*-Dahlia Noir:Givenchy:2011-*-Gentlemen Only:Givenchy:2013-*-Love is all:Guerlain:2005-*-L'Instant d'un Eté pour Homme:Guerlain:2006-*-Opium Vapeurs de Parfum:Yves Saint Laurent:2012
Ambrette,
Tiaré flower,
Ginger,Givenchy Play Sport:Givenchy:2012-*-Elle Shocking:Yves Saint Laurent:2007
Beeswax,
Cashmeran,
Bourbon vanilla,
Cassis,Enjoy:Jean Patou:2003-*-Manifesto:Yves Saint Laurent:2012
"""Sensual Note""",
Chinese Galanga,
Water Lily,
Woods,
Bulgarian roses,
New Caledonia sandalwood,
Pink berries,Les Elixirs Charnels - Boisé Torride:Guerlain:2009-*-Sira des Indes:Jean Patou:2006
Mayotte vanilla,
Citrus,Fahrenheit 0 Degrés:Christian Dior:2002-*-Pi:Givenchy:1999-*-Insensé Ultramarine Aromatic Ocean - Morning Surf:Givenchy:2002-*-Insensé Ultramarine Aromatic Ocean - Evening Dream:Givenchy:2002-*-Givenchy Play Summer Vibrations:Givenchy:2010-*-Dahlia Noir L'Eau:Givenchy:2013-*-Myrrhe et Délires:Guerlain:2012-*-Eau Claire des Merveilles:Hermès:2010
Wood,
Rhubarb Leaf.,
Opoponaux,
Musk,Clair de Musc:Serge Lutens Les Salons du Palais Royal Shiseido:2003
Spicy Notes,
Mint,Géranium pour Monsieur:Editions de Parfums Frederic Malle:2009-*-Givenchy Play Sport:Givenchy:2012-*-Very Irrésistible Tropical Paradise:Givenchy:2011-*-Guerlain Homme L'Eau Boisée:Guerlain:2012-*-Jazz Prestige:Yves Saint Laurent:1993
Green notes,Shalimar Parfum Initial:Guerlain:2011
Sambac Jasmine,
Mimosa Leaf,Champs-Elysées:Guerlain:1904
Agarwood,
Musks,
Blueberry,Very Irrésistible Givenchy Electric Rose:Givenchy:2012
Sicilian orange,Coco Mademoiselle L'Extrait:Chanel:2012
Calabrian bergamot,Coco Mademoiselle L'Extrait:Chanel:2012-*-Hypnotic Poison Eau Secrète:Christian Dior:2013-*-L'Homme Cologne Gingembre:Yves Saint Laurent:2011
Cocoa,
Ginger Lily,Lys Méditerranée:Editions de Parfums Frederic Malle:2000
Grand Vert Basil,
Davana,
Pear Blossom,
Incense,Body Kouros:Yves Saint Laurent:2000
Cedarwood from China,
Almonds,
Aniseed,Après L'ondée:Guerlain:1906
Sandal,
Pink Peppercorn,Extravagance D'Amarige:Givenchy:1998
Hinoki,
Musk notes,
Black Thyme,Chêne:Serge Lutens Les Salons du Palais Royal Shiseido:2004
Pear,Higher:Christian Dior:2001-*-Higher Black:Christian Dior:2002-*-Eaudemoiselle de Givenchy Eau Florale:Givenchy:2012-*-Enjoy:Jean Patou:2003-*-Sira des Indes:Jean Patou:2006
Damask Rose,Cruel Gardenia:Guerlain:2008
Lilac Rose,
Oak,Eau des Merveilles:Hermès:2004
Italian Jasmine,
Apricot Stone,
